pi0_s1,pi0_s2,pi1_s1,D_ts,phi,ny,x1,sty_ts,D_os,x_os,sty_os,pi0_ratio,pi1_ratio,TS_adv,errors
0.02,2.0,0.006226053639846744,0.1,0.6299999999999999,0.7099999999999999,20.593220742698705,18.550213470034464,0.15,21.992195232545143,0.460382592727274,0.01,0.13,39.2930383621681,
0.02,2.0,0.03273809523809524,0.1,0.6299999999999999,0.7099999999999999,20.465198472243955,18.46907417625745,0.2,21.06037546763492,0.5591028249145936,0.01,0.44,32.03341237647782,
0.02,2.0,0.05995934959349593,0.1,0.6299999999999999,0.7099999999999999,20.331325936736008,18.38312621744812,0.21,20.59871432490511,0.6713422443086452,0.01,0.59,26.38264480344037,
0.02,2.0,0.20343137254901972,0.1,0.6499999999999999,0.7099999999999999,19.356719304633845,18.234475548596112,0.24,18.62409502243019,1.2817759515437255,0.01,0.8300000000000001,13.225946060725478,
0.02,2.0,0.08459595959595963,0.1,0.6299999999999999,0.7099999999999999,20.208333578491555,18.303284786440976,0.22,20.098457920773825,0.7760237919409896,0.01,0.67,22.585984059407284,
0.02,2.0,0.07407407407407407,0.1,0.6299999999999999,0.7099999999999999,20.26105699949252,18.337607321674025,0.22,20.14941827788811,0.7313492560122351,0.01,0.64,24.07366647456772,
0.02,2.0,0.1567460317460318,0.1,0.6499999999999999,0.7299999999999999,18.7615247942252,18.0971509100735,0.24,18.804769484768826,1.0835129084081088,0.01,0.79,15.702293779463812,
0.02,2.0,0.06798245614035088,0.1,0.6299999999999999,0.7099999999999999,20.291450188457922,18.357327894902546,0.22,20.17877981870688,0.7053722594521659,0.01,0.62,25.025021042307422,
0.02,2.0,0.013888888888888888,0.1,0.6299999999999999,0.7099999999999999,20.556477002123838,18.527038810089152,0.17,21.766031052545298,0.48671263881386007,0.01,0.25,37.0656620202844,
0.02,2.0,0.02243589743589744,0.1,0.6299999999999999,0.7099999999999999,20.515241183694314,18.500920666163772,0.19,21.371891186920386,0.5185423598877799,0.01,0.35000000000000003,34.678706499827015,
0.02,2.0,0.06517094017094018,0.1,0.6299999999999999,0.7099999999999999,20.30544407511171,18.366391312731274,0.22,20.19229492137742,0.6933550841592632,0.01,0.61,25.489156468797923,
0.02,2.0,0.11858974358974358,0.1,0.6299999999999999,0.7099999999999999,20.03624983554653,18.190333256947433,0.23,19.493152457947318,0.9215512780600096,0.01,0.74,18.73881832733231,
0.02,2.0,0.10714285714285715,0.1,0.6299999999999999,0.7099999999999999,20.094471154950806,18.22869950821362,0.23,19.542541808442436,0.872434902162609,0.01,0.72,19.89405119284884,
0.02,2.0,0.01785714285714286,0.1,0.6299999999999999,0.7099999999999999,20.537364289428847,18.514947341027334,0.18,21.59444349217574,0.5012995810683654,0.01,0.3,35.93389749412604,
0.02,2.0,0.016203703703703706,0.1,0.6299999999999999,0.7099999999999999,20.545334832770216,18.51999284606808,0.18,21.605659894925367,0.4951297059253731,0.01,0.28,36.40432582499797,
0.02,2.0,0.0773809523809524,0.1,0.6299999999999999,0.7099999999999999,20.24451701474594,18.326855140524124,0.22,20.13343500354943,0.7454164626314136,0.01,0.65,23.586061697414124,
